company_no,company_name,cb_no,bond_type,bond_period,bond_category,publish_date,expire_date,publish_qty,remain_qty,basic_interest,interest_pay_type,interest_calc_count,interest_pay_count,credit_level,publish_location,back_flag,back_description,bond_short_name,announce_date,publish_length,publish_month,ipo,ensure,ensure_status,sell_back_date,sell_back_price,sell_broker,remain_change_date,remain_change_cause,currency,collect_method,convert_price,convert_start_date,convert_end_date,trustee
1217      ,愛之味,12172          ,5,2         ,,20110512,20160512,300000000,1100000,0, ,0,0,不適用  ,1,1,                                                                                ,愛之二                        ,20110512,5,0,2,2,                                                                                ,20140512,104.568,815T台新證券                                                                    ,20140731,買回註銷                                                    ,1,7,13.9,20110613,20160502,玉山商業銀行股份有限公司                          
1217      ,愛之味,12173          ,5,3         ,,20130307,20180307,1000000000,1000000000,0, ,0,0,不適用  ,1,1,                                                                                ,愛之三                        ,20130307,5,0,2,2,                                                                                ,20150307,103.531,815T台新證券                                                                    ,0,                                                            ,1,7,10.9,20130408,20180225,台新國際商業銀行股份有限公司                      
1218      ,泰山企業,12181          ,5,1         ,,20130523,20160523,500000000,500000000,0, ,0,0,TWAA-   ,1,1,                                                                                ,泰山一                        ,20130523,3,0,2,1,臺灣新光商業銀行                                                                ,20150523,102.01,910T群益金鼎證券                                                                ,0,                                                            ,1,7,15.1,20130624,20160513,玉山商業銀行股份有限公司信託部                    
1225      ,福懋油,12251          ,5,1         ,,20091221,20141221,500000000,154000000,0, ,0,0,不適用  ,1,1,                                                                                ,福脂一                        ,20091221,5,0,2,1,玉山商業銀行營業部                                                              ,20111221,100,980T元大寶來證券                                                                ,0,                                                            ,1,7,14.5,20100122,20141211,合作金庫銀行信託部                                
1319      ,東陽,13191          ,5,1         ,,20110103,20160103,1000000000,1000000000,0, ,0,0,        ,1,1,                                                                                ,東陽一                        ,20110104,5,0,2,2,                                                                                ,20140103,100,元大證券股份有限公司 、大華證券股份有限公司及永豐金證券股份有限公司             ,0,                                                            ,1,7,50.9,20110204,20151224,台北富邦商業銀行股份有限公司                      
1337      ,F-再生,13371          ,5,1         ,,20121011,20151011,600000000,600000000,0, ,0,0,        ,1,2,到期時依債券面額的106.12%以現金一次償還                                         ,再生一                        ,20121011,3,0,2,2,                                                                                ,0,0,980T元大寶來證券                                                                ,0,                                                            ,1,7,103.5,20121112,20151001,中國信託商業銀行股份有限公司                      
1442      ,名軒,14422          ,5,2         ,,20120801,20150801,800000000,617100000,0, ,0,0,        ,1,1,                                                                                ,名軒二                        ,20120801,3,0,2,1,臺灣銀行股份有限公司                                                            ,20140801,102.01,572T大華證券                                                                    ,0,                                                            ,1,7,26.5,20120902,20150722,臺灣土地銀行股份有限公司                          
1466      ,聚隆,14662          ,5,2         ,,20130114,20180114,300000000,108500000,0, ,0,0,不適用  ,1,1,                                                                                ,聚隆二                        ,20130114,5,0,2,2,                                                                                ,20150114,102.52,648T福邦證券                                                                    ,20140731,轉換                                                        ,1,7,20.1,20130215,20180104,臺灣新光商業銀行信託部                            
1477      ,聚陽實業,14774          ,5,4         ,1         ,20120824,20170824,700000000,357300000,0, ,0,0,        ,1,1,                                                                                ,聚陽四                        ,20120824,5,0,2,2,                                                                                ,20150824,100.7519,592T元富證券                                                                    ,20140731,債券持有人申請轉換                                          ,1,7,85.2,20120925,20170814,中國信託商業銀行信託部                            
1524      ,耿鼎公司,15243          ,5,3         ,,20120102,20150102,300000000,131100000,0, ,0,0,無      ,1,1,                                                                                ,耿鼎三                        ,20120102,3,0,2,1,安泰商業銀行股份有限公司                                                        ,20140102,102.01,980T元大寶來證券                                                                ,20140731,持有人無轉換普通股                                          ,1,7,7.5,20120203,20141222,元大商業銀行股份有限公司信託部                    
1536      ,和大工業,15363          ,5,三        ,,20091116,20141115,200000000,21700000,8, ,0,0,        ,1,1,                                                                                ,和大三                        ,20130814,5,0,2,2,                                                                                ,20121115,100,無                                                                              ,0,                                                            ,1,8,8.24,20091216,20141105,玉山商業銀行股份有限公司                          
1566      ,捷邦,15661          ,5,1         ,,20121214,20171214,500000000,166400000,0, ,0,0,不適用  ,1,1,                                                                                ,捷邦一                        ,20121214,5,0,2,2,                                                                                ,20151214,100,920T凱基證券                                                                    ,0,                                                            ,1,7,32.93,20130115,20171204,中國信託商業銀行股份有限公司                      
1569      ,濱川,15694          ,5,4         ,,20121212,20151212,200000000,200000000,0, ,0,0,        ,1,1,                                                                                ,濱川四                        ,20121212,3,0,2,1,台新國際商業銀行(股)公司                                                        ,20141212,102.4144,台新綜合證券股份有限公司                                                        ,20140731,                                                            ,1,7,39,20130113,20151202,台北富邦商業銀行股份有限公司                      
1584      ,精剛精密,15842          ,5,2         ,,20120424,20150424,287000000,286900000,0, ,0,0,        ,1,1,                                                                                ,精剛二                        ,20120424,3,0,2,1,臺灣銀行  台北富邦銀行  彰化銀行  華南銀行  第一銀行                            ,20140424,103.02,富邦綜合證券(股)公司                                                            ,20140422,債權人於債券發行滿2年行使賣回權                             ,1,7,23.6,20120525,20150414,國泰世華商業銀行信託部                            
1589      ,F-永冠,15891          ,5,1         ,,20140603,20190603,1500000000,1500000000,0, ,0,0,NA      ,1,1,                                                                                ,永冠一                        ,20140603,5,0,2,2,                                                                                ,0,0,凱基證券股份有限公司                                                            ,0,                                                            ,1,7,158,20140904,20190524,臺灣土地銀行股份有限公司信託部                    
1611      ,中電,16111          ,5,1         ,,20100604,20150604,1200000000,259100000,0, ,0,0,不適用  ,1,1,                                                                                ,中電ㄧ                        ,20100604,5,0,2,2,                                                                                ,20150604,100,元大證券股份有限公司                                                            ,0,                                                            ,0,7,23.49,20100705,20150525,元大商業銀行信託部                                
1611      ,中電,16112          ,5,2         ,,20130328,20180328,1600000000,1600000000,0, ,0,0,不適用  ,1,1,                                                                                ,中電二                        ,20130328,5,0,2,2,                                                                                ,20150328,100,元大寶來證券股份有限公司                                                        ,0,                                                            ,0,7,18.62,20130429,20180318,兆豐商業銀行股份有限公司信託部                    
1617      ,榮星電線,16172          ,5,1         ,,20100908,20150908,400000000,89300000,0, ,0,0,        ,1,1,                                                                                ,榮星二                        ,20100908,5,0,2,1,台新國際商業銀行、中國信託商業銀行                                              ,20140908,105.0945,台新綜合證券(股)公司                                                            ,20140731,                                                            ,1,8,11.8,20101009,20150829,兆豐國際商業銀行                                  
1704      ,榮化,17043          ,5,3         ,,20120921,20150921,2000000000,2000000000,0, ,0,0,        ,1,1,                                                                                ,榮化三                        ,20120921,3,0,2,2,                                                                                ,0,0,大華證券股份有限公司                                                            ,0,                                                            ,1,7,44.6,20121022,20150912,華南商業銀行股份有限公司信託部                    
1709      ,和益化工,17091          ,5,1         ,,20140220,20190220,700000000,700000000,0, ,0,0,        ,1,1,                                                                                ,和益一                        ,20140220,5,0,2,2,                                                                                ,20170220,100,富邦綜合證券股份有限公司                                                        ,0,                                                            ,1,7,15.4,20140321,20190210,台北富邦商業銀行股份有限公司                      
1712      ,興農,17121          ,5,1         ,,20130815,20180815,1200000000,1164300000,0, ,0,0,不適用  ,1,1,                                                                                ,興農一                        ,20130815,5,0,2,2,                                                                                ,20160815,100,永豐金證券股份有限公司                                                          ,20131018,可轉換公司債轉換為普通股                                    ,1,7,16,20130916,20180805,永豐銀行股份有限公司信託部                        
1715      ,萬洲化學,17151          ,5,1         ,,20110915,20160915,1000000000,99900000,0, ,0,0,不適用  ,1,1,                                                                                ,萬洲一                        ,20110915,5,0,2,2,                                                                                ,20140915,101.51,福邦證券股份有限公司                                                            ,0,                                                            ,1,7,16.7,20111016,20160905,玉山銀行信託部                                    
1715      ,萬洲化學,17152          ,5,2         ,,20131220,20181220,700000000,254500000,0, ,0,0,不適用  ,1,1,                                                                                ,萬洲二                        ,20131220,5,0,2,2,                                                                                ,20161220,102.2669,國泰綜合證券(股)公司                                                            ,0,                                                            ,1,7,17.45,20140121,20181210,日盛國際商業銀行股份有限公司                      
1729      ,必翔實業,17292          ,5,2         ,,20091202,20141202,2000000000,496800000,0, ,0,0,無      ,1,1,                                                                                ,必翔二                        ,20091202,5,0,2,2,                                                                                ,20120602,100,寶來證券股份有限公司                                                            ,0,                                                            ,1,7,76.55,20100103,20141122,玉山商業銀行信託部                                
1733      ,五鼎,17331          ,5,1         ,,20120806,20150806,400000000,400000000,0, ,0,0,        ,1,1,                                                                                ,五鼎一                        ,20120806,3,0,2,2,                                                                                ,0,0,元大寶來證券股份有限公司                                                        ,0,                                                            ,1,7,78,20120907,20150727,台北富邦商業銀行股份有限公司信託部                
